tsec,tnsec,seqNo,id,type,side,bid0,bid1,bid2,bid3,bid4,bid_size0,bid_size1,bid_size2,bid_size3,bid_size4,ask0,ask1,ask2,ask3,ask4,ask_size0,ask_size1,ask_size2,ask_size3,ask_size4
1780861691,892837614,308,1747767916,5,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,684006000,35000,17000,60219000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,99000,54000,9000,9000,9000
1780861691,892879819,309,1747767916,D,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,684006000,35000,17000,60219000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,99000,54000,9000,9000,9000
1780861691,994532410,310,1747767916,5,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710324000,35000,17000,60219000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861691,994601985,311,1747767916,D,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710324000,35000,17000,60219000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861692,96470951,312,1747767916,5,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710333000,35000,17000,52648000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861692,96552463,313,1747767916,D,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710333000,35000,17000,52648000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861692,194942766,314,1747767916,5,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710333000,35000,17000,52648000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861692,195030288,315,1747767916,D,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710333000,35000,17000,52648000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861692,294087341,316,1747767916,5,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710333000,35000,17000,52648000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861692,294141228,317,1747767916,D,N,6123167000000,6123166000000,6123165000000,6123163000000,6123162000000,710333000,35000,17000,52648000,590000,6123168000000,6123169000000,6123176000000,6123348000000,6123388000000,90000,45000,9000,9000,9000
1780861692,393756838,318,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123737000000,6123689000000,235588000,17000,17000,18000,7570000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16016000,54000,27000,9000,9000
1780861692,395199149,319,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123737000000,6123689000000,235588000,17000,17000,18000,7570000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16016000,54000,27000,9000,9000
1780861692,494721560,320,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123698000000,6123689000000,284095000,17000,17000,1400000,7588000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,762000,72000,9000,9000,9000
1780861692,494776814,321,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123698000000,6123689000000,284095000,17000,17000,1400000,7588000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,762000,72000,9000,9000,9000
1780861692,593576077,322,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,284334000,35000,17000,26000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,780000,81000,9000,9000,9000
1780861692,593624087,323,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,284334000,35000,17000,26000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,780000,81000,9000,9000,9000
1780861692,695015123,324,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,292567000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16329000,81000,9000,9000,9000
1780861692,695047826,325,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,292567000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16329000,81000,9000,9000,9000
1780861692,792879564,326,1747767916,5,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258468000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16338000,90000,9000,9000,9000
1780861692,792906742,327,1747767916,D,N,6123799000000,6123798000000,6123797000000,6123699000000,6123698000000,258468000,35000,17000,44000,1418000,6123800000000,6123801000000,6123805000000,6123852000000,6123932000000,16338000,90000,9000,9000,9000
